mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpregressor__activation,param_mlpregressor__alpha,param_mlpregressor__hidden_layer_sizes,param_mlpregressor__learning_rate,param_mlpregressor__learning_rate_init,param_mlpregressor__max_iter,param_mlpregressor__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,mean_train_score,std_train_score
113.59471333026886,47.01633963968604,0.25737255811691284,0.03488107015633849,logistic,0.39638244598192873,"(5, 5)",adaptive,0.0043753219922104385,207,sgd,"{'mlpregressor__activation': 'logistic', 'mlpregressor__alpha': 0.39638244598192873, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.0043753219922104385, 'mlpregressor__max_iter': 207, 'mlpregressor__solver': 'sgd'}",-0.8084232931368768,-0.7528898842219253,-0.6880309463119448,-0.5475892064599954,-0.8526887950397031,-0.6070544121321071,-0.7206018184314682,-0.6234081546941808,-0.7000858138035252,0.09757605738223042,2,-0.5098293881383418,-0.5615493566254937,-0.5993660331540507,-0.6022374939502525,-0.5904579499619667,-0.6090651552033697,-0.6118603639232995,-0.6135015414246692,-0.5872334102976804,0.03317924920519632
250.35631290078163,107.37809126448829,0.28440698981285095,0.04793841335843202,tanh,0.12866757747522042,"(20, 20)",adaptive,0.0036994089462953797,274,sgd,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.12866757747522042, 'mlpregressor__hidden_layer_sizes': (20, 20), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.0036994089462953797, 'mlpregressor__max_iter': 274, 'mlpregressor__solver': 'sgd'}",-0.7622519219208643,-0.9895393925896063,-1.1714406484805815,-0.773000751069129,-1.125456198017804,-1.1606178173050443,-0.702323945362511,-0.5249650640294262,-0.9011994673468708,0.22783446036487492,15,-0.3581952606502223,-0.3941936250907581,-0.40913427551758935,-0.42735134890346255,-0.428964964497807,-0.44321454274594163,-0.44395837162024204,-0.4517970761721295,-0.419601183149769,0.029285175130469385
144.69902729988098,61.86874143958228,0.27292370796203613,0.04003633854932567,tanh,0.13133542008886878,"(20, 20)",constant,0.0011635353535928586,240,adam,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.13133542008886878, 'mlpregressor__hidden_layer_sizes': (20, 20), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.0011635353535928586, 'mlpregressor__max_iter': 240, 'mlpregressor__solver': 'adam'}",-0.6737238352461524,-0.9334744254544013,-1.2245551602019273,-0.6263680924140536,-1.0108467770355354,-0.606156215016893,-0.7553510040171364,-0.5343838570005263,-0.7956074207983281,0.2232092913702415,14,-0.3556221203591838,-0.3985537257193578,-0.4120901106598467,-0.4345257183511027,-0.43477499287849114,-0.4457003315949359,-0.4483066503612601,-0.4524743786953307,-0.4227560035774386,0.030724403268773282
38.77083295583725,17.840814144294367,0.23266014456748962,0.03545472803974734,relu,0.24346326796176587,"(5, 5)",constant,0.006618138134673482,372,adam,"{'mlpregressor__activation': 'relu', 'mlpregressor__alpha': 0.24346326796176587, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.006618138134673482, 'mlpregressor__max_iter': 372, 'mlpregressor__solver': 'adam'}",-0.7124230591503672,-0.8854947773949748,-0.7080406062004615,-0.5270485888439462,-0.8181109422395881,-0.5560123777743384,-0.7109091749971231,-0.6361856726440115,-0.6942781499056013,0.11355146342425654,1,-0.4549132954411609,-0.5475203770697333,-0.5567400139071779,-0.5728291793577249,-0.5476572125924315,-0.5729908463669522,-0.571927508233495,-0.572389490643982,-0.5496209904515822,0.037298211290192694
46.42285344004631,20.685954095314326,0.3192417621612549,0.043547581118218145,relu,0.2192689653553746,"(20, 20)",constant,0.01060865020291277,450,adam,"{'mlpregressor__activation': 'relu', 'mlpregressor__alpha': 0.2192689653553746, 'mlpregressor__hidden_layer_sizes': (20, 20), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.01060865020291277, 'mlpregressor__max_iter': 450, 'mlpregressor__solver': 'adam'}",-0.7444521522212543,-0.8059540254721128,-1.1012654310333203,-0.5940852797477975,-0.7058565977422419,-0.8079479283686738,-0.7054862604627291,-0.6197790222967775,-0.7606033371681135,0.14756547993422178,10,-0.39297536845962944,-0.43763471568018913,-0.4745016621010332,-0.49286662510813783,-0.4895683251173232,-0.5045189503265355,-0.5018547461913834,-0.49684367646875144,-0.47384550868162284,0.03659736090757789
79.22599318623543,38.44646643290107,0.2459484338760376,0.01734958946147924,tanh,0.1978269067179032,"(10, 10)",constant,0.008142710315157562,282,sgd,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.1978269067179032, 'mlpregressor__hidden_layer_sizes': (10, 10), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.008142710315157562, 'mlpregressor__max_iter': 282, 'mlpregressor__solver': 'sgd'}",-0.7338984559610813,-0.8383438052971757,-1.1539093107905396,-0.6485186148790286,-0.9454013568695281,-0.6306612614688744,-0.5894601693711445,-0.4938145407627184,-0.7542509394250113,0.2016147248342221,7,-0.3952615391646135,-0.43605439214264907,-0.4543281409085188,-0.49483971077369615,-0.47395705206243816,-0.49390802388081356,-0.49645706207663864,-0.5013556501779262,-0.4682701963984117,0.03508423302259367
158.8395193219185,78.82007795433606,0.3324073553085327,0.16762213600920203,tanh,0.2652264950428184,"(5, 5)",adaptive,0.0010465259765697124,257,sgd,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.2652264950428184, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.0010465259765697124, 'mlpregressor__max_iter': 257, 'mlpregressor__solver': 'sgd'}",-0.8591279694369918,-0.9288644660413355,-1.0385506176558417,-0.5156140537685086,-0.8369764534458184,-0.5865733668900366,-0.6671013188138555,-0.6522132845962721,-0.7606276913310824,0.17025850198939596,11,-0.4487057821447985,-0.488491959485665,-0.5381976187261668,-0.559153522723798,-0.5450200557249134,-0.5600973583982416,-0.5732205665264577,-0.5631450460289166,-0.5345039887198697,0.04059644890960939
60.14653158187866,31.096131510312766,0.26904475688934326,0.033410585748597954,relu,0.14856319999443307,"(20, 20)",constant,0.00975386556747224,259,adam,"{'mlpregressor__activation': 'relu', 'mlpregressor__alpha': 0.14856319999443307, 'mlpregressor__hidden_layer_sizes': (20, 20), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.00975386556747224, 'mlpregressor__max_iter': 259, 'mlpregressor__solver': 'adam'}",-0.7836511463062311,-0.7117965419683147,-1.02164090097018,-0.6252078745026781,-0.768811139513934,-0.6546343123290458,-0.6873779175015313,-0.513803189287874,-0.7208653777974736,0.13888938035089854,5,-0.385338079496973,-0.43644986272107805,-0.4651743071805598,-0.48276109384692095,-0.46984471487032864,-0.483813856687601,-0.48794565048046107,-0.5010566601807114,-0.4640480281830793,0.034773170039524855
114.7623051404953,49.03924373160265,0.28787463903427124,0.02482198533931968,tanh,0.29277985902725956,"(20, 20)",constant,0.006783833057552133,277,sgd,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.29277985902725956, 'mlpregressor__hidden_layer_sizes': (20, 20), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.006783833057552133, 'mlpregressor__max_iter': 277, 'mlpregressor__solver': 'sgd'}",-0.6651987651285952,-0.9501547431890964,-0.9371923104884109,-0.7838113364237507,-1.144757252491462,-0.6412740667866428,-0.6215365292037907,-0.5795265901094542,-0.7904314492276504,0.18827452871299907,13,-0.39283452863287754,-0.422150780957133,-0.440841234013216,-0.4433319986589855,-0.4575470360271096,-0.4782338213925073,-0.4708826688274754,-0.48339231052936316,-0.44865179737983346,0.028641126101362224
75.64480006694794,42.02616946849977,0.29661256074905396,0.04056279155174319,tanh,0.37001387680640163,"(20, 20)",adaptive,0.010132978759572496,311,adam,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.37001387680640163, 'mlpregressor__hidden_layer_sizes': (20, 20), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.010132978759572496, 'mlpregressor__max_iter': 311, 'mlpregressor__solver': 'adam'}",-0.7351910561484056,-0.8023730927241371,-1.0234232085183896,-0.5500860292837148,-0.9078365059249037,-0.5400588652675637,-0.6860127130904397,-0.6865716337161225,-0.7414441380842096,0.15580743054704177,6,-0.4386607282844386,-0.48641559680933966,-0.4952821932715365,-0.5227981013548536,-0.5178690279628331,-0.5310929822869835,-0.5389798446897064,-0.5390866357263918,-0.5087731387982604,0.03202846149841446
69.17380607128143,26.07980461965333,0.277428537607193,0.054598819834745925,tanh,0.23049331945704746,"(5, 5)",constant,0.006346897790604909,421,sgd,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.23049331945704746, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.006346897790604909, 'mlpregressor__max_iter': 421, 'mlpregressor__solver': 'sgd'}",-0.9037181094230335,-0.8820992569906734,-0.8993637915983042,-0.6266698340193464,-0.8523195020704045,-0.5693383713215168,-0.6774972980014254,-0.62796466516696,-0.754871353573958,0.13307266416510038,8,-0.42746685486294816,-0.4923764318160852,-0.505883172658887,-0.5477485684174549,-0.5381871053041599,-0.557597270347714,-0.5597220809153962,-0.5593915042331746,-0.5235466235694776,0.04339922792596613
135.0632535815239,45.19045599610588,0.26346534490585327,0.016396652010563048,tanh,0.22284979721780315,"(5, 5)",adaptive,0.004170698353403942,425,sgd,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.22284979721780315, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.004170698353403942, 'mlpregressor__max_iter': 425, 'mlpregressor__solver': 'sgd'}",-0.8559858305292625,-0.8859374652924948,-1.1566172971054156,-0.5485939899819882,-0.8161421990071123,-0.5430783988237261,-0.7016780462187259,-0.5879061403342584,-0.7619924209116229,0.1969340697818273,12,-0.4290486426199272,-0.4922403347260353,-0.5194964592341246,-0.5391920997280876,-0.5292702310149605,-0.5656778025870042,-0.5610659512857309,-0.555348920964276,-0.5239175552700183,0.042421866644626174
45.450805217027664,26.227291037292353,0.23597249388694763,0.017103969131345025,tanh,0.27789738811048526,"(5, 5)",adaptive,0.006311691498221669,431,adam,"{'mlpregressor__activation': 'tanh', 'mlpregressor__alpha': 0.27789738811048526, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.006311691498221669, 'mlpregressor__max_iter': 431, 'mlpregressor__solver': 'adam'}",-0.8317609285765436,-0.8367344399961332,-1.073209211413163,-0.6248567569890621,-0.785987304092345,-0.6068811659383567,-0.7448537004066346,-0.566213036635468,-0.7588120680059633,0.15382365586024177,9,-0.4269157828885701,-0.5095815822983119,-0.5356704231707213,-0.5490792643228137,-0.5520171693733482,-0.5681074987812973,-0.5609351048918032,-0.5788347574863947,-0.5351426979016576,0.045423854354421124
144.94029021263123,54.99554325283955,0.22360923886299133,0.06817942008524928,logistic,0.39074026543203944,"(10, 10)",adaptive,0.0035981610034952487,459,sgd,"{'mlpregressor__activation': 'logistic', 'mlpregressor__alpha': 0.39074026543203944, 'mlpregressor__hidden_layer_sizes': (10, 10), 'mlpregressor__learning_rate': 'adaptive', 'mlpregressor__learning_rate_init': 0.0035981610034952487, 'mlpregressor__max_iter': 459, 'mlpregressor__solver': 'sgd'}",-0.7915527478367684,-0.7382840241033028,-0.7190539199122663,-0.5555053074262739,-0.8558817924001278,-0.5973686028518983,-0.7257656666949057,-0.6462428690703986,-0.7037068662869927,0.09311649216915734,3,-0.5127287557416692,-0.5603535256099115,-0.5919866339891156,-0.6017947496775117,-0.5893202164712559,-0.5966717981622739,-0.590763958300188,-0.5912540399838985,-0.579359209741978,0.027690570087041042
42.74332296848297,12.932288067291855,0.2836732864379883,0.07987576109656051,logistic,0.33814335039595605,"(5, 5)",constant,0.009786707411750077,456,sgd,"{'mlpregressor__activation': 'logistic', 'mlpregressor__alpha': 0.33814335039595605, 'mlpregressor__hidden_layer_sizes': (5, 5), 'mlpregressor__learning_rate': 'constant', 'mlpregressor__learning_rate_init': 0.009786707411750077, 'mlpregressor__max_iter': 456, 'mlpregressor__solver': 'sgd'}",-0.8278848722613714,-0.7778362399906296,-0.7189647396192065,-0.5571751867678736,-0.895816161791955,-0.6095979016397421,-0.7294363016592811,-0.6349956463003268,-0.7189633812537983,0.10718168060957656,4,-0.5008656940533264,-0.5538631528697493,-0.5936004876655472,-0.5933804391838214,-0.5848548713676118,-0.6093864151116232,-0.5991251226400978,-0.6102908807544297,-0.5806708829557758,0.034416966825114456
